"","mileage_bin","mode_c","pct","n","wt"
"1","<=0.25","driver",0.000263,882,280475.9911
"2","<=0.25","passenger",0.00045,259,82085.2909
"3","<=0.25","transit",9.2e-05,100,18622.8031
"4","<=0.25","walk",0.096036,3895,1021657.9966
"5","<=0.25","schoolbus",9.7e-05,12,2344.9507
"6","<=0.25","bike",0.001111,52,15347.2388
"7","<=0.25","other",0.000113,19,5330.7262
"8","0.25 to 0.5","driver",0.001532,1707,596710.7952
"9","0.25 to 0.5","passenger",0.003165,615,192562.9093
"10","0.25 to 0.5","transit",0.000457,127,24302.599
"11","0.25 to 0.5","walk",0.242813,3765,987303.2045
"12","0.25 to 0.5","schoolbus",0.000456,13,3700.4614
"13","0.25 to 0.5","bike",0.008888,117,29469.9303
"14","0.25 to 0.5","other",0.001425,31,12546.5289
"15","0.5 to 1","driver",0.008226,4688,1525630.6026
"16","0.5 to 1","passenger",0.018032,1806,525533.5214
"17","0.5 to 1","transit",0.003058,425,96517.5679
"18","0.5 to 1","walk",0.30842,2541,656637.1314
"19","0.5 to 1","schoolbus",0.015113,212,52801.6281
"20","0.5 to 1","bike",0.044067,299,67710.7552
"21","0.5 to 1","other",0.011575,124,30293.4635
"22","1 to 2.5","driver",0.050672,12763,4107885.5653
"23","1 to 2.5","passenger",0.098812,4415,1423857.9675
"24","1 to 2.5","transit",0.022233,1394,291869.0977
"25","1 to 2.5","walk",0.180695,737,209162.0092
"26","1 to 2.5","schoolbus",0.187849,1186,279997.1074
"27","1 to 2.5","bike",0.178456,573,112479.0847
"28","1 to 2.5","other",0.072533,356,101921.0593
"29","2.5 to 5","driver",0.100173,12009,3846000.8491
"30","2.5 to 5","passenger",0.173674,3679,1153742.8653
"31","2.5 to 5","transit",0.072136,2086,344261.857
"32","2.5 to 5","walk",0.059581,101,22961.8531
"33","2.5 to 5","schoolbus",0.333343,1083,269263.4395
"34","2.5 to 5","bike",0.224639,314,43114.0641
"35","2.5 to 5","other",0.143949,336,79307.3694
"36","5 to 10","driver",0.155662,9441,2936754.1023
"37","5 to 10","passenger",0.214621,2352,728797.5522
"38","5 to 10","transit",0.179182,2696,455720.5221
"39","5 to 10","walk",0.075712,59,12560.4817
"40","5 to 10","schoolbus",0.256134,442,90358.6824
"41","5 to 10","bike",0.359688,265,35644.3291
"42","5 to 10","other",0.253241,301,87903.7355
"43","10 to 25","driver",0.341684,9218,2653759.6137
"44","10 to 25","passenger",0.281172,1389,489556.9843
"45","10 to 25","transit",0.313336,2141,392913.0773
"46","10 to 25","walk",0.036743,15,2663.4349
"47","10 to 25","schoolbus",0.148822,109,27923.8255
"48","10 to 25","bike",0.165401,66,8744.1919
"49","10 to 25","other",0.293634,167,49422.1648
"50","25 to 50","driver",0.285711,3704,887823.2647
"51","25 to 50","passenger",0.167625,383,107104.161
"52","25 to 50","transit",0.376893,1205,176048.0682
"53","25 to 50","schoolbus",0.058186,23,7471.4186
"54","25 to 50","bike",0.01775,3,211.2057
"55","25 to 50","other",0.174556,43,14764.62
"56","50 to 100","driver",0.056076,382,80578.4097
"57","50 to 100","passenger",0.042449,48,11576.0631
"58","50 to 100","transit",0.032613,61,6640.3054
"59","50 to 100","other",0.048975,5,659.9063
"60","<=0.25","all",0.001098,5219,1425864.9974
"61","0.25 to 0.5","all",0.003699,6375,1846596.4286
"62","0.5 to 1","all",0.011597,10095,2955124.6701
"63","1 to 2.5","all",0.056431,21424,6527171.8911
"64","2.5 to 5","all",0.109432,19608,5758652.2975
"65","5 to 10","all",0.170458,15556,4347739.4053
"66","10 to 25","all",0.321757,13105,3624983.2924
"67","25 to 50","all",0.276979,5361,1193422.7382
"68","50 to 100","all",0.048546,496,99454.6845
